,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes_Attempted,Live_Ball_Passes,Dead_Ball_Passes,Free_Kick_Passes,Through_Balls,Switches,Crosses,Throw_Ins_Taken,Corner_Kicks,In_Corner_Kicks,Out_Corner_Kicks,Str_Corner_Kicks,Passes_Cmp,Passes_Off,Passes_Blocked
1225,1461,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29.0,1993.0,33.0,1470.0,1432.0,31.0,21.0,8.0,12.0,15,9.0,0.0,0.0,0.0,0.0,1261.0,7.0,9.0
1226,1462,Álvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30.0,1993.0,2.8,185.0,146.0,39.0,4.0,0.0,1.0,5,35.0,0.0,0.0,0.0,0.0,145.0,0.0,6.0
1227,1463,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20.0,2003.0,0.1,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
1228,1464,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28.0,1995.0,12.8,918.0,859.0,58.0,40.0,0.0,8.0,3,4.0,0.0,0.0,0.0,0.0,822.0,1.0,3.0
1229,1468,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20.0,2002.0,2.8,186.0,179.0,6.0,5.0,1.0,0.0,2,1.0,0.0,0.0,0.0,0.0,165.0,1.0,4.0
1230,1469,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28.0,1994.0,26.7,1250.0,1209.0,36.0,30.0,8.0,13.0,14,6.0,0.0,0.0,0.0,0.0,1018.0,5.0,20.0
1231,1470,Léo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23.0,2000.0,5.5,184.0,183.0,0.0,0.0,1.0,3.0,1,0.0,0.0,0.0,0.0,0.0,132.0,1.0,6.0
1232,1471,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34.0,1988.0,30.6,592.0,569.0,16.0,2.0,9.0,5.0,18,1.0,0.0,0.0,0.0,0.0,416.0,7.0,23.0
1233,1472,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22.0,2001.0,16.9,599.0,580.0,19.0,1.0,2.0,2.0,46,16.0,1.0,0.0,0.0,0.0,470.0,0.0,22.0
1234,1473,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18.0,2004.0,9.0,568.0,525.0,43.0,9.0,1.0,0.0,1,34.0,0.0,0.0,0.0,0.0,518.0,0.0,11.0
1235,1474,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22.0,2001.0,16.0,415.0,404.0,10.0,3.0,2.0,4.0,50,6.0,0.0,0.0,0.0,0.0,289.0,1.0,13.0
1236,1475,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27.0,1996.0,14.1,982.0,914.0,65.0,31.0,2.0,8.0,4,17.0,0.0,0.0,0.0,0.0,814.0,3.0,6.0
1237,1476,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23.0,1999.0,15.4,1193.0,1169.0,23.0,19.0,0.0,3.0,2,1.0,0.0,0.0,0.0,0.0,1120.0,1.0,4.0
