,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Assists,G+A,G-PK,PK,PK_Attempted,Yellow,Red,xG,npxG,xAG,npxG+xAG,Prg_Carries,Prg_Passes,Prg_Passes_Received,Goals_per90,Assits_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Matches
2543,Musa Al-Taamari,jo JOR,FW,Montpellier,fr Ligue 1,26,1997,27,24,"1,928",21.4,5,2,7,5,0,0,0,0,3.6,3.6,3.5,7.1,81,54,168,0.23,0.09,0.33,0.23,0.33,0.17,0.16,0.33,0.17,0.33,Matches
2544,Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,30,1992,25,25,"2,123",23.6,3,1,4,3,0,0,7,1,2.6,2.6,1.0,3.5,32,105,119,0.13,0.04,0.17,0.13,0.17,0.11,0.04,0.15,0.11,0.15,Matches
2545,Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,27,1996,31,30,"2,631",29.2,4,1,5,4,0,0,6,0,2.1,2.1,0.3,2.3,17,133,4,0.14,0.03,0.17,0.14,0.17,0.07,0.01,0.08,0.07,0.08,Matches
2546,Montassar Talbi,tn TUN,DF,Lorient,fr Ligue 1,25,1998,25,25,"2,204",24.5,0,0,0,0,0,0,2,0,0.6,0.6,0.2,0.8,15,88,7,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
2547,Yassin Tallal,es ESP,FW,Getafe,es La Liga,18,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2548,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29,1994,29,25,"2,146",23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22,90,39,0.00,0.08,0.08,0.00,0.08,0.03,0.09,0.12,0.03,0.12,Matches
2549,Renato Tapia,pe PER,"MF,DF",Celta Vigo,es La Liga,28,1995,21,15,"1,337",14.9,0,0,0,0,0,0,5,1,1.0,1.0,0.6,1.6,9,61,14,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.11,0.07,0.11,Matches
2550,Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,24,1999,28,23,"2,087",23.2,0,1,1,0,0,0,4,0,1.0,1.0,1.0,2.0,49,164,12,0.00,0.04,0.04,0.00,0.04,0.04,0.04,0.08,0.04,0.08,Matches
2551,Matt Targett,eng ENG,DF,Newcastle Utd,eng Premier League,27,1995,3,1,78,0.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
2552,Oussama Targhalline,ma MAR,MF,Le Havre,fr Ligue 1,21,2002,14,12,"1,025",11.4,0,0,0,0,0,0,4,1,0.2,0.2,0.4,0.6,27,70,15,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
2553,James Tarkowski,eng ENG,DF,Everton,eng Premier League,30,1992,38,38,"3,419",38.0,1,1,2,1,0,0,11,0,2.6,2.6,2.5,5.1,15,130,20,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13,Matches
2554,César Tárrega,es ESP,DF,Valencia,es La Liga,21,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2555,Jimi Tauriainen,eng ENG,FW,Chelsea,eng Premier League,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2556,Nuno Tavares,pt POR,DF,Nott'ham Forest,eng Premier League,23,2000,8,5,457,5.1,0,0,0,0,0,0,2,0,0.2,0.2,0.5,0.7,14,24,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
2557,Marcus Tavernier,eng ENG,FW,Bournemouth,eng Premier League,24,1999,30,25,"2,118",23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,79,84,171,0.13,0.17,0.30,0.13,0.30,0.17,0.22,0.39,0.17,0.39,Matches
2558,Elayis Tavsan,nl NED,"MF,FW",Hellas Verona,it Serie A,22,2001,3,0,50,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,1,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
2559,Charlie Taylor,eng ENG,DF,Burnley,eng Premier League,29,1993,28,25,"2,331",25.9,1,1,2,1,0,0,8,0,0.2,0.2,1.2,1.5,36,82,81,0.04,0.04,0.08,0.04,0.08,0.01,0.05,0.06,0.01,0.06,Matches
2560,Marciano Tchami,gw GNB,FW,Almería,es La Liga,19,2004,6,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
2561,Loum Tchaouna,fr FRA,"FW,MF",Salernitana,it Serie A,19,2003,33,23,"2,100",23.3,4,3,7,4,0,0,4,0,2.6,2.6,1.5,4.1,72,59,151,0.17,0.13,0.30,0.17,0.30,0.11,0.06,0.18,0.11,0.18,Matches
2562,Jackson Tchatchoua,cm CMR,DF,Hellas Verona,it Serie A,21,2001,26,19,"1,725",19.2,0,2,2,0,0,0,2,0,0.0,0.0,1.3,1.3,34,53,66,0.00,0.10,0.10,0.00,0.10,0.00,0.07,0.07,0.00,0.07,Matches
2563,Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,20,2002,17,11,"1,125",12.5,0,0,0,0,0,0,2,0,0.3,0.3,0.3,0.6,26,46,57,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,Matches
2564,Aurélien Tchouaméni,fr FRA,"MF,DF",Real Madrid,es La Liga,23,2000,27,22,"1,987",22.1,3,1,4,3,0,0,7,0,1.3,1.3,0.9,2.1,28,111,15,0.14,0.05,0.18,0.14,0.18,0.06,0.04,0.10,0.06,0.10,Matches
2565,Mathys Tel,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,18,2005,30,6,"1,050",11.7,7,5,12,7,0,0,2,0,3.7,3.7,2.3,6.0,45,27,122,0.60,0.43,1.03,0.60,1.03,0.32,0.20,0.52,0.32,0.52,Matches
2566,Nathan Tella,ng NGA,"DF,MF",Leverkusen,de Bundesliga,24,1999,24,8,819,9.1,5,2,7,5,0,0,2,0,3.5,3.5,3.2,6.7,35,28,114,0.55,0.22,0.77,0.55,0.77,0.38,0.35,0.73,0.38,0.73,Matches
2567,Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,27,1996,25,11,"1,141",12.7,1,0,1,1,0,0,5,0,0.6,0.6,0.5,1.2,17,45,24,0.08,0.00,0.08,0.08,0.08,0.05,0.04,0.09,0.05,0.09,Matches
2568,Arnau Tenas,es ESP,GK,Paris S-G,fr Ligue 1,22,2001,6,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0,0,0,0.00,0.17,0.17,0.00,0.17,0.00,0.13,0.13,0.00,0.13,Matches
2569,Marc-André ter Stegen,de GER,GK,Barcelona,es La Liga,31,1992,28,28,"2,520",28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2570,Filippo Terracciano,it ITA,DF,Hellas Verona,it Serie A,20,2003,18,14,"1,296",14.4,0,1,1,0,0,0,1,0,0.3,0.3,1.0,1.3,26,51,28,0.00,0.07,0.07,0.00,0.07,0.02,0.07,0.09,0.02,0.09,Matches
2571,Filippo Terracciano,it ITA,"DF,FW",Milan,it Serie A,20,2003,3,1,76,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2572,Pietro Terracciano,it ITA,GK,Fiorentina,it Serie A,33,1990,33,33,"2,970",33.0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2573,Ramón Terrats,es ESP,"MF,DF",Villarreal,es La Liga,22,2000,19,6,785,8.7,0,2,2,0,0,0,4,0,0.4,0.4,1.6,1.9,19,38,54,0.00,0.23,0.23,0.00,0.23,0.04,0.18,0.22,0.04,0.22,Matches
2574,Martin Terrier,fr FRA,"FW,MF",Rennes,fr Ligue 1,26,1997,24,19,"1,527",17.0,7,3,10,7,0,0,2,1,5.2,5.2,2.6,7.8,28,58,112,0.41,0.18,0.59,0.41,0.59,0.31,0.15,0.46,0.31,0.46,Matches
2575,Kenny Tete,nl NED,DF,Fulham,eng Premier League,27,1995,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,20,54,38,0.10,0.00,0.10,0.10,0.10,0.09,0.04,0.13,0.09,0.13,Matches
2576,Benjamin Tetteh,gh GHA,"FW,MF",Metz,fr Ligue 1,26,1997,12,1,278,3.1,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.3,3,6,13,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11,Matches
2577,Teddy Teuma,mt MLT,MF,Reims,fr Ligue 1,29,1993,28,25,"2,113",23.5,6,3,9,5,1,1,7,0,3.1,2.3,3.7,6.0,29,157,112,0.26,0.13,0.38,0.21,0.34,0.13,0.16,0.29,0.10,0.26,Matches
2578,Florian Thauvin,fr FRA,FW,Udinese,it Serie A,30,1993,29,19,"1,710",19.0,5,3,8,4,1,1,4,0,4.7,3.9,4.2,8.2,71,69,97,0.26,0.16,0.42,0.21,0.37,0.25,0.22,0.47,0.21,0.43,Matches
2579,Arthur Theate,be BEL,DF,Rennes,fr Ligue 1,23,2000,28,27,"2,296",25.5,2,0,2,2,0,0,4,0,1.9,1.9,0.8,2.7,33,151,24,0.08,0.00,0.08,0.08,0.08,0.07,0.03,0.11,0.07,0.11,Matches
2580,Norman Theuerkauf,de GER,"MF,DF",Heidenheim,de Bundesliga,36,1987,25,14,"1,259",14.0,0,1,1,0,0,0,3,0,0.4,0.4,0.8,1.2,15,46,17,0.00,0.07,0.07,0.00,0.07,0.03,0.06,0.09,0.03,0.09,Matches
2581,Malick Thiaw,de GER,DF,Milan,it Serie A,21,2001,21,19,"1,619",18.0,0,1,1,0,0,0,5,1,0.6,0.6,0.1,0.7,15,70,1,0.00,0.06,0.06,0.00,0.06,0.03,0.01,0.04,0.03,0.04,Matches
2582,Jan Thielmann,de GER,"FW,DF",Köln,de Bundesliga,21,2002,22,20,"1,579",17.5,1,0,1,1,0,0,4,1,2.3,2.3,1.1,3.3,46,51,69,0.06,0.00,0.06,0.06,0.06,0.13,0.06,0.19,0.13,0.19,Matches
2583,Denis Thomalla,de GER,"MF,FW",Heidenheim,de Bundesliga,30,1992,21,3,446,5.0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,3,22,19,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.13,0.06,0.13,Matches
2584,Luke Thomas,eng ENG,DF,Sheffield Utd,eng Premier League,22,2001,12,11,917,10.2,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,33,22,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.06,0.05,0.06,Matches
2585,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29,1993,29,13,"1,193",13.3,1,2,3,1,0,0,2,1,3.8,3.8,3.9,7.7,20,68,121,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58,Matches
2586,Morten Thorsby,no NOR,MF,Genoa,it Serie A,27,1996,24,9,"1,157",12.9,2,2,4,2,0,0,2,0,1.8,1.8,1.4,3.2,6,28,39,0.16,0.16,0.31,0.16,0.31,0.14,0.11,0.25,0.14,0.25,Matches
2587,Kristian Thorstvedt,no NOR,MF,Sassuolo,it Serie A,24,1999,34,30,"2,397",26.6,6,1,7,6,0,0,7,0,4.4,4.4,1.6,5.9,30,130,94,0.23,0.04,0.26,0.23,0.26,0.16,0.06,0.22,0.16,0.22,Matches
2588,Khéphren Thuram,fr FRA,MF,Nice,fr Ligue 1,22,2001,27,25,"2,108",23.4,1,1,2,1,0,0,7,0,3.4,3.4,3.7,7.0,67,104,57,0.04,0.04,0.09,0.04,0.09,0.14,0.16,0.30,0.14,0.30,Matches
2589,Marcus Thuram,fr FRA,FW,Inter,it Serie A,25,1997,35,34,"2,687",29.9,13,7,20,13,0,0,3,0,14.3,14.3,3.7,18.0,68,47,192,0.44,0.23,0.67,0.44,0.67,0.48,0.12,0.60,0.48,0.60,Matches
2590,Cheikh Tidiane Sabaly,sn SEN,"FW,MF",Metz,fr Ligue 1,24,1999,29,17,"1,379",15.3,3,1,4,3,0,0,4,0,2.7,2.7,1.2,3.8,37,36,75,0.20,0.07,0.26,0.20,0.26,0.17,0.08,0.25,0.17,0.25,Matches
2591,Youri Tielemans,be BEL,"MF,FW",Aston Villa,eng Premier League,26,1997,32,17,"1,622",18.0,2,6,8,2,0,0,3,0,1.3,1.3,2.6,3.9,23,128,46,0.11,0.33,0.44,0.11,0.44,0.07,0.14,0.21,0.07,0.21,Matches
2592,Kieran Tierney,sct SCO,DF,Real Sociedad,es La Liga,26,1997,20,14,"1,238",13.8,0,2,2,0,0,0,1,0,0.2,0.2,0.6,0.8,22,77,39,0.00,0.15,0.15,0.00,0.15,0.01,0.05,0.06,0.01,0.06,Matches
2593,Phillip Tietz,de GER,FW,Augsburg,de Bundesliga,26,1997,34,31,"2,382",26.5,8,4,12,8,0,0,1,0,8.2,8.2,2.6,10.8,19,51,115,0.30,0.15,0.45,0.30,0.45,0.31,0.10,0.41,0.31,0.41,Matches
2594,Steffen Tigges,de GER,FW,Köln,de Bundesliga,25,1998,25,6,727,8.1,3,0,3,3,0,0,0,0,2.6,2.6,1.6,4.1,9,10,48,0.37,0.00,0.37,0.37,0.37,0.32,0.19,0.51,0.32,0.51,Matches
2595,Antonio Tikvić,hr CRO,DF,Udinese,it Serie A,19,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2596,Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,22,2001,2,1,71,0.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,8,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2597,Jean-Clair Todibo,fr FRA,DF,Nice,fr Ligue 1,23,1999,30,30,"2,651",29.5,0,2,2,0,0,0,2,1,0.6,0.6,1.6,2.2,32,150,11,0.00,0.07,0.07,0.00,0.07,0.02,0.06,0.08,0.02,0.08,Matches
2598,Harry Toffolo,eng ENG,DF,Nott'ham Forest,eng Premier League,27,1995,23,15,"1,459",16.2,1,3,4,1,0,0,3,0,1.6,1.6,1.5,3.2,10,42,34,0.06,0.19,0.25,0.06,0.25,0.10,0.10,0.20,0.10,0.20,Matches
2599,Umut Tohumcu,de GER,MF,Hoffenheim,de Bundesliga,18,2004,20,12,"1,011",11.2,0,2,2,0,0,0,5,0,0.5,0.5,1.1,1.6,18,46,27,0.00,0.18,0.18,0.00,0.18,0.04,0.10,0.14,0.04,0.14,Matches
2600,Corentin Tolisso,fr FRA,MF,Lyon,fr Ligue 1,28,1994,25,21,"1,741",19.3,2,1,3,1,1,1,5,0,3.2,2.4,1.8,4.2,30,153,67,0.10,0.05,0.16,0.05,0.10,0.17,0.09,0.26,0.13,0.22,Matches
2601,Jeremy Toljan,de GER,DF,Sassuolo,it Serie A,28,1994,25,24,"2,083",23.1,0,5,5,0,0,0,1,0,0.6,0.6,1.6,2.1,35,79,85,0.00,0.22,0.22,0.00,0.22,0.02,0.07,0.09,0.02,0.09,Matches
2602,Rafael Tolói,it ITA,DF,Atalanta,it Serie A,32,1990,18,10,965,10.7,0,0,0,0,0,0,6,1,0.1,0.1,0.1,0.1,8,53,10,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2603,Raúl de Tomás,es ESP,FW,Rayo Vallecano,es La Liga,28,1994,25,15,"1,272",14.1,1,2,3,0,1,1,5,0,3.4,2.6,1.3,3.9,11,23,73,0.07,0.14,0.21,0.00,0.14,0.24,0.09,0.33,0.18,0.28,Matches
2604,Tiago Tomás,pt POR,"FW,MF",Wolfsburg,de Bundesliga,21,2002,26,11,"1,032",11.5,1,1,2,1,0,0,3,0,2.7,2.7,0.8,3.5,21,17,112,0.09,0.09,0.17,0.09,0.17,0.23,0.07,0.30,0.23,0.30,Matches
2605,Takehiro Tomiyasu,jp JPN,DF,Arsenal,eng Premier League,24,1998,22,10,"1,149",12.8,2,1,3,2,0,0,2,1,1.5,1.5,0.4,1.9,17,72,37,0.16,0.08,0.23,0.16,0.23,0.12,0.03,0.15,0.12,0.15,Matches
2606,James Tomkins,eng ENG,DF,Crystal Palace,eng Premier League,34,1989,4,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2607,Fikayo Tomori,eng ENG,DF,Milan,it Serie A,25,1997,26,24,"2,121",23.6,4,0,4,4,0,0,8,1,3.7,3.7,0.2,3.9,16,63,2,0.17,0.00,0.17,0.17,0.17,0.16,0.01,0.16,0.16,0.16,Matches
2608,Sandro Tonali,it ITA,MF,Newcastle Utd,eng Premier League,23,2000,8,5,438,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,11,19,21,0.21,0.00,0.21,0.21,0.21,0.13,0.13,0.26,0.13,0.26,Matches
2609,Ivan Toney,eng ENG,FW,Brentford,eng Premier League,27,1996,17,16,"1,450",16.1,4,2,6,4,0,0,5,0,6.0,6.0,1.5,7.4,23,40,98,0.25,0.12,0.37,0.25,0.37,0.37,0.09,0.46,0.37,0.46,Matches
2610,Pablo Torre,es ESP,"MF,FW",Girona,es La Liga,20,2003,26,4,701,7.8,0,2,2,0,0,0,1,0,0.8,0.8,0.9,1.6,25,65,40,0.00,0.26,0.26,0.00,0.26,0.10,0.11,0.21,0.10,0.21,Matches
2611,Raúl Torrente,es ESP,DF,Granada,es La Liga,21,2001,17,14,"1,250",13.9,0,0,0,0,0,0,4,0,0.2,0.2,0.4,0.6,4,33,2,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04,Matches
2612,Ferrán Torres,es ESP,FW,Barcelona,es La Liga,23,2000,29,12,"1,211",13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.20,0.61,0.41,0.61,Matches
2613,Óliver Torres,es ESP,MF,Sevilla,es La Liga,28,1994,27,18,"1,616",18.0,0,1,1,0,0,0,3,0,0.5,0.5,2.2,2.7,40,96,110,0.00,0.06,0.06,0.00,0.06,0.03,0.12,0.15,0.03,0.15,Matches
2614,Pau Torres,es ESP,DF,Aston Villa,eng Premier League,26,1997,29,27,"2,464",27.4,2,0,2,2,0,0,1,0,1.0,1.0,0.4,1.4,42,128,16,0.07,0.00,0.07,0.07,0.07,0.04,0.02,0.05,0.04,0.05,Matches
2615,Lucas Torró,es ESP,MF,Osasuna,es La Liga,29,1994,28,21,"1,788",19.9,1,0,1,1,0,0,5,0,1.5,1.5,0.6,2.0,3,60,15,0.05,0.00,0.05,0.05,0.05,0.07,0.03,0.10,0.07,0.10,Matches
2616,Fabio Torsiello,it ITA,"FW,DF",Darmstadt 98,de Bundesliga,18,2005,10,1,156,1.7,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,4,8,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
2617,Ahmed Touba,dz ALG,DF,Lecce,it Serie A,25,1998,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
2618,Abdoulaye Touré,gn GUI,MF,Le Havre,fr Ligue 1,29,1994,30,27,"2,284",25.4,2,0,2,0,2,2,4,0,3.0,1.4,0.9,2.3,22,148,25,0.08,0.00,0.08,0.00,0.00,0.12,0.04,0.15,0.05,0.09,Matches
2619,Souleymane Touré,fr FRA,DF,Lorient,fr Ligue 1,20,2003,24,23,"2,051",22.8,1,1,2,1,0,0,6,0,1.7,1.7,0.4,2.2,24,73,25,0.04,0.04,0.09,0.04,0.09,0.08,0.02,0.10,0.08,0.10,Matches
2620,Lucas Tousart,fr FRA,MF,Union Berlin,de Bundesliga,26,1997,23,18,"1,572",17.5,0,0,0,0,0,0,5,0,1.5,1.5,0.9,2.4,15,51,33,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches
2621,Andros Townsend,eng ENG,"MF,FW",Luton Town,eng Premier League,32,1991,27,14,"1,210",13.4,1,3,4,1,0,0,1,0,1.2,1.2,1.3,2.5,47,35,71,0.07,0.22,0.30,0.07,0.30,0.09,0.10,0.19,0.09,0.19,Matches
2622,James Trafford,eng ENG,GK,Burnley,eng Premier League,20,2002,28,28,"2,520",28.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2623,Adama Traoré,es ESP,"FW,MF",Fulham,eng Premier League,27,1996,17,1,377,4.2,2,3,5,2,0,0,2,0,1.5,1.5,0.7,2.2,29,16,48,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,Matches
2624,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,eng Premier League,27,1995,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2625,Bertrand Traoré,bf BFA,MF,Villarreal,es La Liga,27,1995,11,6,568,6.3,1,0,1,1,0,0,4,0,0.9,0.9,0.4,1.3,29,30,63,0.16,0.00,0.16,0.16,0.16,0.15,0.06,0.21,0.15,0.21,Matches
2626,Boubacar Traoré,ml MLI,MF,Wolves,eng Premier League,21,2001,24,7,819,9.1,0,0,0,0,0,0,4,0,0.3,0.3,0.4,0.7,9,29,15,0.00,0.00,0.00,0.00,0.00,0.03,0.04,0.07,0.03,0.07,Matches
2627,Chaka Traorè,ci CIV,FW,Milan,it Serie A,18,2004,2,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,2,0,2,4.50,0.00,4.50,4.50,4.50,0.35,0.00,0.35,0.35,0.35,Matches
2628,Daouda Traoré,fr FRA,MF,Nice,fr Ligue 1,17,2006,1,0,16,0.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
2629,Hamari Traoré,ml MLI,DF,Real Sociedad,es La Liga,31,1992,31,27,"2,292",25.5,0,2,2,0,0,0,7,0,0.5,0.5,1.5,2.1,49,129,83,0.00,0.08,0.08,0.00,0.08,0.02,0.06,0.08,0.02,0.08,Matches
2630,Ismaël Traoré,ci CIV,DF,Metz,fr Ligue 1,36,1986,26,25,"2,220",24.7,2,0,2,2,0,0,2,0,0.8,0.8,0.2,1.0,1,32,1,0.08,0.00,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,Matches
2631,Omar Traoré,de GER,DF,Heidenheim,de Bundesliga,25,1998,31,29,"2,472",27.5,0,2,2,0,0,0,5,0,0.3,0.3,1.3,1.6,61,78,91,0.00,0.07,0.07,0.00,0.07,0.01,0.05,0.06,0.01,0.06,Matches
2632,Kevin Trapp,de GER,GK,Eint Frankfurt,de Bundesliga,33,1990,32,32,"2,880",32.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2633,Mark Travers,ie IRL,GK,Bournemouth,eng Premier League,24,1999,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2634,Óscar Trejo,ar ARG,"FW,MF",Rayo Vallecano,es La Liga,35,1988,31,19,"1,380",15.3,0,0,0,0,0,0,4,1,0.9,0.9,1.3,2.2,28,124,81,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Matches
2635,Mike Trésor,be BEL,"FW,MF",Burnley,eng Premier League,24,1999,16,3,420,4.7,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,15,10,31,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.18,0.10,0.18,Matches
2636,Manu Trigueros,es ESP,MF,Villarreal,es La Liga,31,1991,14,2,309,3.4,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,7,20,13,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20,Matches
2637,Christopher Trimmel,at AUT,DF,Union Berlin,de Bundesliga,36,1987,26,19,"1,646",18.3,0,2,2,0,0,0,2,1,0.6,0.5,2.1,2.6,23,86,65,0.00,0.11,0.11,0.00,0.11,0.03,0.11,0.14,0.03,0.14,Matches
2638,Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,32,1990,28,26,"2,236",24.8,1,10,11,1,0,0,5,0,0.7,0.7,7.5,8.2,34,157,128,0.04,0.40,0.44,0.04,0.44,0.03,0.30,0.33,0.03,0.33,Matches
2639,Leandro Trossard,be BEL,"FW,MF",Arsenal,eng Premier League,28,1994,34,18,"1,649",18.3,12,1,13,12,0,0,2,0,7.9,7.9,2.8,10.7,66,76,155,0.65,0.05,0.71,0.65,0.71,0.43,0.15,0.58,0.43,0.58,Matches
2640,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,21,2001,30,24,"2,145",23.8,1,2,3,1,0,0,6,0,1.7,1.7,1.8,3.5,51,98,181,0.04,0.08,0.13,0.04,0.13,0.07,0.08,0.15,0.07,0.15,Matches
2641,Auston Trusty,us USA,DF,Sheffield Utd,eng Premier League,24,1998,32,28,"2,572",28.6,0,0,0,0,0,0,4,0,0.4,0.4,1.1,1.5,10,40,15,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
2642,Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,27,1996,13,8,679,7.5,0,3,3,0,0,0,0,0,0.1,0.1,1.0,1.1,24,31,73,0.00,0.40,0.40,0.00,0.40,0.01,0.14,0.15,0.01,0.15,Matches
2643,Viktor Tsyhankov,ua UKR,"MF,FW",Girona,es La Liga,25,1997,30,26,"2,052",22.8,8,7,15,8,0,0,0,0,6.2,6.2,5.9,12.1,65,89,226,0.35,0.31,0.66,0.35,0.66,0.27,0.26,0.53,0.27,0.53,Matches
2644,Stefano Turati,it ITA,GK,Frosinone,it Serie A,21,2001,31,31,"2,745",30.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2645,Matt Turner,us USA,GK,Nott'ham Forest,eng Premier League,29,1994,17,17,"1,530",17.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
