,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_Against,Goals_Against_per90,Shots_on_Target_Against,Saves,Save%,W,D,L,CS,CS%,PK_attempts,PK_Allowed,PKs_Saved,PK_missed,Save%(Penalty Kicks),Matches
151,Ionuț Radu,ro ROU,GK,Auxerre,fr Ligue 1,25,1997,17,17,"1,530",17.0,20,1.18,74,53,73.0,4,6,7,5,29.4,2,0,2,0,100.0,Matches
152,Predrag Rajković,rs SRB,GK,Mallorca,es La Liga,26,1995,36,36,"3,240",36.0,40,1.11,133,92,74.4,13,8,15,12,33.3,7,6,1,0,14.3,Matches
153,Diant Ramaj,de GER,GK,Eint Frankfurt,de Bundesliga,20,2001,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Matches
154,Aaron Ramsdale,eng ENG,GK,Arsenal,eng Premier League,24,1998,38,38,"3,420",38.0,43,1.13,136,94,70.6,26,6,6,14,36.8,5,3,0,2,0.0,Matches
155,Nicola Ravaglia,it ITA,GK,Sampdoria,it Serie A,33,1988,9,9,810,9.0,23,2.56,64,41,67.2,0,3,6,0,0.0,2,2,0,0,0.0,Matches
156,David Raya,es ESP,GK,Brentford,eng Premier League,26,1995,38,38,"3,420",38.0,46,1.21,197,154,77.7,15,14,9,12,31.6,2,2,0,0,0.0,Matches
157,Pepe Reina,es ESP,GK,Villarreal,es La Liga,39,1982,22,22,"1,980",22.0,27,1.23,87,61,73.6,13,3,6,5,22.7,4,4,0,0,0.0,Matches
158,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,27,1995,38,38,"3,420",38.0,35,0.92,133,99,74.4,21,8,9,15,39.5,2,1,1,0,50.0,Matches
159,Manuel Riemann,de GER,GK,Bochum,de Bundesliga,33,1988,34,34,"3,060",34.0,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3,Matches
160,Rémy Riou,fr FRA,GK,Lyon,fr Ligue 1,34,1987,7,6,601,6.7,8,1.20,24,17,83.3,2,4,0,1,16.7,4,4,0,0,0.0,Matches
161,Joel Robles,es ESP,GK,Leeds United,eng Premier League,32,1990,4,4,360,4.0,11,2.75,27,16,66.7,0,1,3,0,0.0,3,2,0,1,0.0,Matches
162,Marek Rodák,sk SVK,GK,Fulham,eng Premier League,25,1996,2,2,180,2.0,2,1.00,4,2,50.0,0,2,0,1,50.0,0,0,0,0,,Matches
163,Leonardo Román,es ESP,GK,Mallorca,es La Liga,22,2000,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
164,Francesco Rossi,it ITA,GK,Atalanta,it Serie A,31,1991,1,0,4,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
165,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30,1992,14,14,"1,260",14.0,10,0.71,56,46,82.1,6,3,5,7,50.0,0,0,0,0,,Matches
166,Alessandro Russo,it ITA,GK,Sassuolo,it Serie A,21,2001,1,1,90,1.0,3,3.00,7,4,57.1,0,0,1,0,0.0,0,0,0,0,,Matches
167,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,29,1992,29,29,"2,610",29.0,27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,0.0,Matches
168,José Sá,pt POR,GK,Wolves,eng Premier League,29,1993,36,36,"3,240",36.0,55,1.53,161,105,67.1,11,7,18,11,30.6,4,2,2,0,50.0,Matches
169,Brice Samba,fr FRA,GK,Lens,fr Ligue 1,28,1994,37,37,"3,330",37.0,28,0.76,125,98,80.0,24,9,4,15,40.5,3,3,0,0,0.0,Matches
170,Robert Sánchez,es ESP,GK,Brighton,eng Premier League,24,1997,23,23,"2,070",23.0,30,1.30,74,46,66.2,11,5,7,6,26.1,6,5,1,0,16.7,Matches
171,Mouhamadou Sarr,sn SEN,GK,Cremonese,it Serie A,25,1997,2,2,180,2.0,3,1.50,8,5,62.5,1,0,1,1,50.0,0,0,0,0,,Matches
172,Kasper Schmeichel,dk DEN,GK,Nice,fr Ligue 1,35,1986,36,36,"3,240",36.0,35,0.97,141,105,77.3,15,12,9,11,30.6,5,3,1,1,25.0,Matches
173,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,27,1995,34,34,"3,060",34.0,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0,Matches
174,Alexander Schwolow,de GER,GK,Schalke 04,de Bundesliga,30,1992,23,22,"2,035",22.6,58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,0.0,Matches
175,Matz Sels,be BEL,GK,Strasbourg,fr Ligue 1,30,1992,38,38,"3,420",38.0,59,1.55,174,115,71.8,9,13,16,6,15.8,11,10,0,1,0.0,Matches
176,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,31,1991,17,17,"1,530",17.0,27,1.59,87,57,73.6,4,5,8,3,17.6,7,4,3,0,42.9,Matches
177,Rui Silva,pt POR,GK,Betis,es La Liga,28,1994,26,26,"2,340",26.0,32,1.23,104,73,71.2,12,4,10,9,34.6,2,2,0,0,0.0,Matches
178,Marco Silvestri,it ITA,GK,Udinese,it Serie A,31,1991,38,38,"3,420",38.0,48,1.26,137,91,69.3,11,13,14,10,26.3,7,6,0,1,0.0,Matches
179,Unai Simón,es ESP,GK,Athletic Club,es La Liga,25,1997,31,31,"2,745",30.5,37,1.21,104,70,67.3,13,6,12,9,29.0,3,3,0,0,0.0,Matches
180,Tobias Sippel,de GER,GK,M'Gladbach,de Bundesliga,34,1988,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0,Matches
181,Salvatore Sirigu,it ITA,GK,Fiorentina,it Serie A,35,1987,1,1,90,1.0,0,0.00,5,5,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
182,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,31,1991,37,37,"3,330",37.0,49,1.32,161,113,73.9,13,12,12,7,18.9,9,7,2,0,22.2,Matches
183,François-Joseph Sollacaro,fr FRA,GK,Ajaccio,fr Ligue 1,28,1994,6,6,540,6.0,14,2.33,24,11,45.8,1,1,4,1,16.7,1,1,0,0,0.0,Matches
